Plot_ID,EP_Plot_ID,Exploratory,Latitude,Longitude,VIP,MIP,Landuse,Soil_Type_German,Soil_Type_WRB,Main_Tree_Species
S999,SEG22,SCH,53.1,13.97,no,yes,Grassland,Gley,Gleysol,na
A19737,na,ALB,48.38,9.34,no,no,Forest,nd,nd,nd
A21173,na,ALB,48.38,9.35,no,no,Forest,nd,nd,nd
A21787,na,ALB,48.39,9.36,no,no,Forest,nd,nd,nd
A24620,na,ALB,48.36,9.38,no,no,Forest,nd,nd,nd
A24824,na,ALB,48.36,9.38,no,no,Forest,nd,nd,nd
A29929,na,ALB,48.37,9.41,no,no,Forest,nd,nd,nd
A29934,na,ALB,48.38,9.41,no,no,Forest,nd,nd,nd
A32304,na,ALB,48.49,9.43,no,no,Forest,nd,nd,nd
A32702,na,ALB,48.48,9.43,no,no,Forest,nd,nd,nd
A32892,na,ALB,48.47,9.43,no,no,Forest,nd,nd,nd
A33621,na,ALB,48.39,9.44,no,no,Forest,nd,nd,nd
A33836,na,ALB,48.4,9.44,no,no,Forest,nd,nd,nd
A35050,na,ALB,48.39,9.44,no,no,Forest,nd,nd,nd
A35061,na,ALB,48.4,9.44,no,no,Forest,nd,nd,nd
A36076,na,ALB,48.4,9.45,no,no,Forest,nd,nd,nd
A36473,na,ALB,48.39,9.45,no,no,Forest,nd,nd,nd
A36476,na,ALB,48.39,9.45,no,no,Forest,nd,nd,nd
A36477,na,ALB,48.39,9.45,no,no,Forest,nd,nd,nd
A37089,na,ALB,48.39,9.46,no,no,Forest,nd,nd,nd
A37298,na,ALB,48.4,9.46,no,no,Forest,nd,nd,nd
A6697,na,ALB,48.39,9.26,no,no,Forest,nd,nd,nd
A7721,na,ALB,48.39,9.26,no,no,Forest,nd,nd,nd
A8538,na,ALB,48.39,9.27,no,no,Forest,nd,nd,nd
A37062,na,ALB,48.37,9.46,no,no,Grassland,nd,nd,nd
H30605,na,HAI,50.97,10.44,no,no,Grassland,nd,nd,nd
H20509,na,HAI,51.12,10.43,no,no,Grassland,nd,nd,nd
S967,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S968,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S969,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S97,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S970,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S971,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S972,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S973,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S974,SEG41,SCH,53.12,13.85,no,no,Grassland,Parabraunerde,Luvisol,na
S975,na,SCH,53.12,13.85,no,no,Grassland,nd,nd,nd
S976,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S977,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S978,na,SCH,53.12,13.86,no,no,Grassland,nd,nd,nd
S979,na,SCH,53.1,13.62,no,no,Grassland,nd,nd,nd
S98,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S980,SEG20,SCH,53.1,13.62,no,no,Grassland,Mulmniedermoor,Histosol,na
S981,na,SCH,53.1,13.62,no,no,Grassland,nd,nd,nd
S982,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
S983,na,SCH,53.11,13.61,no,no,Grassland,nd,nd,nd
S984,na,SCH,53.11,13.61,no,no,Grassland,nd,nd,nd
S985,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
S986,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
S987,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
S988,SEG21,SCH,53.11,13.61,no,no,Grassland,Gley,Gleysol,na
S989,na,SCH,53.11,13.61,no,no,Grassland,nd,nd,nd
S99,na,SCH,53.01,13.84,no,no,Forest,nd,nd,nd
S990,SEG9,SCH,53.1,13.61,yes,yes,Grassland,Erdniedermoor,Histosol,na
S991,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
S992,na,SCH,53.1,13.61,no,no,Grassland,nd,nd,nd
